id,name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,valence,tempo
2c7sRekhMGlj7u1WIIzoQu,Fighting My Demons,0.0848,0.601,0.712,0.0,1.0,0.461,-9.433,1.0,0.0436,0.389,114.97
2WN7xpcY4zmcqF57HFEGZY,Better Believe (ft The Weeknd),0.057,0.8,0.56,0.0,5.0,0.134,-4.818,0.0,0.261,0.45,163.071
6s8WSX1MxNThrot8ThI6fG,4X4,0.065,0.777,0.73,0.0,5.0,0.113,-6.324,0.0,0.328,0.738,162.956
4QTlxavdQGUVitxAvQqqkU,Mmhmm,0.0182,0.857,0.661,0.0,0.0,0.115,-6.544,1.0,0.319,0.612,163.077
29TPjc8wxfz4XMn21O7VsZ,Sky,0.138,0.718,0.767,0.0,9.0,0.114,-5.641,1.0,0.166,0.519,160.084
7v3rmoy5jcn4h5UqwQyCM3,Ginseng Strip 2002,0.0483,0.74,0.678,3.49e-05,11.0,0.166,-6.929,0.0,0.203,0.13,134.107
1Am3fwJi1NF1sD2McZfVWi,Topanga,0.0368,0.63,0.813,0.00165,11.0,0.146,-5.584,0.0,0.0366,0.0786,147.93
1K5KBOgreBi5fkEHvg5ap3,Life Is Good (feat. Drake),0.0734,0.754,0.611,0.0,1.0,0.36,-5.385,1.0,0.427,0.568,166.009
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,0.213,0.831,0.456,0.0,10.0,0.0669,-10.778,1.0,0.585,0.535,158.006
12eAtj918bpsB4Vts8pCMu,listen!,0.146,0.763,0.531,0.0,11.0,0.175,-6.154,1.0,0.0328,0.665,110.497
6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),0.0392,0.625,0.847,0.000108,6.0,0.788,-2.95,0.0,0.0454,0.221,143.023
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),0.537,0.663,0.473,0.0,0.0,0.113,-8.27,0.0,0.0818,0.4,146.047
6ToUq75iHEOgqD1lT0eJoh,CR@SH (feat. Travis Scott),0.106,0.716,0.659,0.000109,10.0,0.112,-6.3,0.0,0.0582,0.461,148.961
4qS2KPWvsQzLvRa9oCHw41,You (feat. Travis Scott),0.00264,0.732,0.75,0.0,11.0,0.109,-6.366,0.0,0.231,0.401,155.096
5LKIZ4UTKebSE5VFbLSQnr,His & Hers (feat. Don Toliver & Lil Uzi Vert),,,,,,,,,,,
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,0.222,0.647,0.933,0.0526,9.0,0.131,-2.708,0.0,0.0335,0.41,123.97
3SEd8nPd8MpGwk6ZZ8tk2j,Mamacita (feat. Rich Homie Quan & Young Thug),0.0012,0.534,0.819,0.0011,11.0,0.112,-4.329,1.0,0.038,0.0806,154.994
01Ch5LzVStxCFPKkT1xg6k,sweet sweet,0.0267,0.633,0.927,0.0,2.0,0.0986,-4.468,1.0,0.0839,0.88,146.097
1D7Ymp3AP9ex21F32ms0in,Touching God (Feat. Yebba & Blood Orange),0.00574,0.847,0.733,1.04e-05,10.0,0.151,-6.439,0.0,0.16,0.202,130.029
1jKXjxMWlq4BhH6f9GtZbu,TORE UP,0.0123,0.793,0.793,0.0,11.0,0.0951,-4.521,0.0,0.083,0.679,123.95
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,0.886,0.497,0.254,0.00234,2.0,0.354,-11.578,0.0,0.0287,0.152,71.994
2vlDrKpOC0eSTqTDRcbYyw,This Is What You Came For,0.0171,0.537,0.828,0.00162,3.0,0.089,-3.93,1.0,0.0643,0.65,160.017
7p6LdEcYnSbw68yJDbUjxD,'06 wayne rooney,0.0859,0.733,0.578,1.19e-06,0.0,0.403,-5.245,0.0,0.0417,0.447,142.028
6fxVffaTuwjgEk5h9QyRjy,Photograph,0.0146,0.823,0.768,1.03e-06,11.0,0.127,-6.21,1.0,0.0819,0.216,115.021
22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),,,,,,,,,,,
